"Longitude","Latitude","Location","Crime.type","Postcode","Town","County"
-5.957168,54.617112,"Jamaica Road","Anti-social behaviour","BT147QW","BELFAST","ANTRIM"
-7.184935,54.928131,"Gulf Road","Anti-social behaviour","BT473TW","LONDONDERRY","LONDONDERRY"
-6.337027,54.182834,"Mourne View Park","Anti-social behaviour","BT356BZ","NEWRY","DOWN"
-5.929328,54.598579,"Castle Lane","Anti-social behaviour","BT235EB","COMBER","DOWN"
-5.911673,54.596415,"Connswater Street","Anti-social behaviour",,,
-5.905874,54.596648,"Clandeboye Gardens","Anti-social behaviour","BT54PE","BELFAST","DOWN"
-7.445047,54.254263,"Main Street","Anti-social behaviour","BT936HW","DERRYGONNELLY","FERMANAGH"
-6.358575,54.183336,"Parkhead Crescent","Anti-social behaviour","BT358PE","NEWRY","ARMAGH"
-5.70894,54.316006,"Ballymote Park","Anti-social behaviour","BT306RW","DOWNPATRICK","DOWN"
-6.028281,54.521578,"Connswater Street","Anti-social behaviour",,,
-5.834315,54.641895,"Shore Road","Anti-social behaviour","BT413NW",,"ANTRIM"
-7.135157,54.488791,"Rarogan Road","Anti-social behaviour","BT702DY","DUNGANNON","TYRONE"
-5.956815,54.613656,"Flax Street","Anti-social behaviour","BT147EJ","BELFAST","ANTRIM"
-7.206893,54.622652,"Killyclogher Road","Anti-social behaviour","BT790AX","OMAGH","TYRONE"
-5.922422,54.64786,"Whitewell Crescent","Anti-social behaviour","BT367HJ","NEWTOWNABBEY","ANTRIM"
-5.980825,54.58147,"Connswater Street","Anti-social behaviour",,,
-7.321754,54.594496,"Clontarf Heights","Anti-social behaviour","BT785BL","OMAGH","TYRONE"
-5.862614,54.593564,"Knockhill Park","Anti-social behaviour","BT536DD","BALLYMONEY","ANTRIM"
-5.961001,54.604544,"Caledon Street","Anti-social behaviour","BT133AX","BELFAST","ANTRIM"
-7.261995,54.594254,"Deverney Park","Anti-social behaviour","BT790ES","OMAGH","TYRONE"
-5.997012,54.754176,"Meadow Drive","Anti-social behaviour","BT399XF","BALLYCLARE","ANTRIM"
-5.927755,54.613692,"Glenrosa Street","Anti-social behaviour","BT152JB","BELFAST","ANTRIM"
-5.937312,54.61115,"Kinnaird Terrace","Anti-social behaviour","BT146BN","BELFAST","ANTRIM"
-6.025223,54.560289,"Laurelbank","Anti-social behaviour","BT170RT","DUNMURRY","ANTRIM"
-6.36286,54.439602,"Clanrolla Park","Anti-social behaviour","BT655HZ","CRAIGAVON","ARMAGH"
-5.832307,54.638876,"Hillview Place","Anti-social behaviour","BT189DL","HOLYWOOD","DOWN"
-6.688922,54.533916,"Tirowen Court","Anti-social behaviour",,,
-6.255593,54.863063,"Skye Park","Anti-social behaviour","BT424EB","BALLYMENA","ANTRIM"
-6.335799,54.177929,"Trevor Hill","Anti-social behaviour","BT341DN","NEWRY","DOWN"
-7.630325,54.343561,"Derrychara Road","Anti-social behaviour","BT746JF","ENNISKILLEN","FERMANAGH"
-6.201631,54.714439,"Hillcrest","Anti-social behaviour","BT668QU","CRAIGAVON","ARMAGH"
-6.206119,54.726311,"Steeple Green","Anti-social behaviour","BT411BP","ANTRIM","ANTRIM"
-6.343336,54.177134,"Monaghan Street","Anti-social behaviour","BT356AA","NEWRY","DOWN"
-6.030363,54.562376,"Sally Gardens Lane","Anti-social behaviour",,,
-6.941795,55.040395,"Glenview Drive","Anti-social behaviour","BT490RZ","LIMAVADY","LONDONDERRY"
-5.959099,54.591519,"Irwell Court","Anti-social behaviour","BT126EZ","BELFAST","ANTRIM"
-6.079112,54.516008,"Knockburn Grove","Anti-social behaviour","BT282QN","LISBURN","ANTRIM"
-5.956475,54.575032,"Connswater Street","Anti-social behaviour",,,
-6.681433,55.12048,"Burnside Park","Anti-social behaviour","BT513AJ","COLERAINE","LONDONDERRY"
-7.325588,54.98951,"Ferguson Street","Anti-social behaviour","BT486TA","LONDONDERRY","LONDONDERRY"
-5.90511,54.687401,"Tynan Close","Anti-social behaviour","BT370JH","NEWTOWNABBEY","ANTRIM"
-5.905815,54.675212,"Fernagh Gardens","Anti-social behaviour","BT370BL","NEWTOWNABBEY","ANTRIM"
-6.014557,54.565973,"Stewartstown Road","Anti-social behaviour","BT714PF","COALISLAND","TYRONE"
-6.547103,54.398547,"Kilmore Road","Anti-social behaviour","BT309HJ","CROSSGAR","DOWN"
-6.545664,54.878114,"Connswater Street","Anti-social behaviour",,,
-5.960196,54.604871,"Mayo Court","Anti-social behaviour","BT133BE","BELFAST","ANTRIM"
-6.006943,54.572442,"Rosgoill Drive","Anti-social behaviour","BT119QX","BELFAST","ANTRIM"
-6.058297,54.500329,"Blaris Park","Anti-social behaviour","BT281NQ","LISBURN","ANTRIM"
-7.641273,54.350602,"Derrin Road","Anti-social behaviour","BT746BA","ENNISKILLEN","FERMANAGH"
-6.516756,54.811671,"Hunters Park","Anti-social behaviour","BT458JE","BELLAGHY","LONDONDERRY"
-6.608536,54.756259,"Connswater Street","Anti-social behaviour",,,
-6.538095,55.132768,"Connswater Street","Anti-social behaviour",,,
-6.748208,54.650616,"Millburn Park","Anti-social behaviour","BT808HQ","COOKSTOWN","TYRONE"
-5.939684,54.61323,"Brucevale Park","Anti-social behaviour","BT146BQ","BELFAST","ANTRIM"
-5.814448,54.712692,"Belfast Road","Anti-social behaviour","BT248EB","BALLYNAHINCH","DOWN"
-6.660878,55.137494,"Artillery Road","Anti-social behaviour","BT521QL","COLERAINE","LONDONDERRY"
-7.313373,54.377039,"Spout Road","Anti-social behaviour","BT750PD","FIVEMILETOWN","TYRONE"
-7.45651,54.381119,"Glenview Park","Anti-social behaviour","BT370TG","NEWTOWNABBEY","ANTRIM"
-5.941976,54.581301,"Eglantine Avenue","Anti-social behaviour","BT96EU","BELFAST","ANTRIM"
-5.699039,54.594157,"Regent Street","Anti-social behaviour","BT234WY","NEWTOWNARDS","DOWN"
-7.323884,54.993291,"Connswater Street","Anti-social behaviour",,,
-7.312731,55.014176,"Bay Road","Anti-social behaviour","BT401DG","LARNE","ANTRIM"
-6.413683,55.153976,"Main Street","Anti-social behaviour","BT936HW","DERRYGONNELLY","FERMANAGH"
-6.270103,54.855939,"Brooke Park","Anti-social behaviour","BT423BL","BALLYMENA","ANTRIM"
-5.938129,54.612746,"Brucevale Court","Anti-social behaviour","BT146BG","BELFAST","ANTRIM"
-5.647042,54.641949,"Connswater Street","Anti-social behaviour",,,
-6.385827,54.46505,"Tannaghmore Green","Anti-social behaviour","BT666LA","LURGAN","ARMAGH"
-6.763744,54.47754,"Mullybrannon Road","Anti-social behaviour","BT717ER","DUNGANNON","TYRONE"
-6.671477,54.843945,"Main Street","Anti-social behaviour","BT936HW","DERRYGONNELLY","FERMANAGH"
-5.989987,54.628785,"Wolfhill Avenue South","Anti-social behaviour","BT148NU","BELFAST","ANTRIM"
-7.309357,54.994943,"Connswater Street","Anti-social behaviour",,,
-6.521516,54.299929,"Halford Mews","Anti-social behaviour","BT601PQ","MARKETHILL","ARMAGH"
-6.059904,54.510077,"Tonagh Mews","Anti-social behaviour","BT281DZ","LISBURN","ANTRIM"
-6.179606,54.995874,"Glenravel Road","Anti-social behaviour","BT436QQ","MARTINSTOWN","ANTRIM"
-7.304696,54.599537,"John Street","Anti-social behaviour","BT486JY","LONDONDERRY","LONDONDERRY"
-6.294961,54.461861,"Belfast Road","Anti-social behaviour","BT248EB","BALLYNAHINCH","DOWN"
-6.375505,54.193018,"Millvale Park","Anti-social behaviour","BT357NL","BESSBROOK","ARMAGH"
-6.773484,54.480478,"Connswater Street","Anti-social behaviour",,,
-6.265227,54.856328,"Chichester Park East","Anti-social behaviour","BT424BH","BALLYMENA","ANTRIM"
-5.807505,54.59486,"Upper Newtownards Road","Anti-social behaviour","BT43NW","BELFAST","DOWN"
-7.34522,55.029141,"Upper Galliagh Road","Anti-social behaviour","BT488LW","LONDONDERRY","LONDONDERRY"
-5.927325,54.637378,"Waveney Drive","Anti-social behaviour","BT154FT","BELFAST","ANTRIM"
-5.932635,54.591645,"Ventry Street","Anti-social behaviour","BT27JP","BELFAST","ANTRIM"
-6.03621,54.506684,"Dill Avenue","Anti-social behaviour","BT666HL","LURGAN","ARMAGH"
-7.308118,54.992493,"Ben Varden Avenue","Anti-social behaviour","BT472AS","LONDONDERRY","LONDONDERRY"
-5.709197,54.597064,"Westland Drive","Anti-social behaviour","BT222TH","BALLYWALTER","DOWN"
-5.915622,54.576366,"St. Judes Square","Anti-social behaviour",,,
-6.4123,54.427828,"Lynden Gate","Anti-social behaviour","BT635YH","PORTADOWN","ARMAGH"
-6.652541,55.206186,"Main Street","Anti-social behaviour","BT936HW","DERRYGONNELLY","FERMANAGH"
-7.301966,54.594518,"Cannon Dale","Anti-social behaviour","BT781JU","OMAGH","TYRONE"
-6.267382,54.354577,"Mountview Drive","Anti-social behaviour","BT274JJ","LISBURN","ANTRIM"
-5.980273,54.577301,"Kennedy Way","Anti-social behaviour","BT119AP","BELFAST","ANTRIM"
-5.934686,54.59637,"Murray Street","Anti-social behaviour","BT16DN","BELFAST","ANTRIM"
-6.019697,54.558833,"Glasvey Rise","Anti-social behaviour","BT170DZ","DUNMURRY","ANTRIM"
-5.926802,54.598958,"Ann Street","Anti-social behaviour","BT546AA","BALLYCASTLE","ANTRIM"
-6.609476,54.754213,"Connswater Street","Anti-social behaviour",,,
-7.29533,54.989356,"Connswater Street","Anti-social behaviour",,,
-6.216453,54.590618,"Chestnut Glen","Anti-social behaviour","BT294GJ",,"ANTRIM"
-5.931632,54.57328,"Lockview Road","Anti-social behaviour","BT95GN","BELFAST","ANTRIM"
-5.956448,54.595949,"Connswater Street","Anti-social behaviour",,,
-6.185575,54.711549,"Donore Crescent","Anti-social behaviour","BT411JA","ANTRIM","ANTRIM"
-6.76282,54.514778,"Oaklea","Anti-social behaviour","BT716JY","DUNGANNON","TYRONE"
-7.577581,54.340963,"Ballylucas Road","Anti-social behaviour","BT308SZ","DOWNPATRICK","DOWN"
-7.33208,54.99648,"Westland Mews","Anti-social behaviour","BT489EQ","LONDONDERRY","LONDONDERRY"
-6.646242,55.193693,"Apollo Avenue","Anti-social behaviour","BT568HH","PORTRUSH","ANTRIM"
-6.635239,54.344817,"Orangefield Crescent","Anti-social behaviour","BT69GJ","BELFAST","DOWN"
-5.806325,54.539381,"Connswater Street","Anti-social behaviour",,,
-5.67816,54.659182,"Osborne Drive","Anti-social behaviour","BT309SG","KILLYLEAGH","DOWN"
-5.449359,54.459364,"Connswater Street","Anti-social behaviour",,,
-6.68826,54.249695,"Annvale Road","Anti-social behaviour","BT602SA","KEADY","ARMAGH"
-5.934898,54.591881,"Connswater Street","Anti-social behaviour",,,
-6.71069,54.529506,"Bush Road","Anti-social behaviour","BT716QE","DUNGANNON","TYRONE"
-5.942221,54.659852,"Floral Park","Anti-social behaviour","BT367RU","NEWTOWNABBEY","ANTRIM"
-5.903877,54.5545,"Burnside Avenue","Anti-social behaviour","BT86HW","BELFAST","DOWN"
-6.014801,54.563506,"Margaretta Park","Anti-social behaviour","BT170JQ","DUNMURRY","ANTRIM"
-5.979306,54.584329,"Connswater Street","Anti-social behaviour",,,
-6.358243,54.18166,"Nursery Drive","Anti-social behaviour","BT358SF","NEWRY","ARMAGH"
-5.951333,54.696197,"The Glade","Anti-social behaviour","BT365NW","NEWTOWNABBEY","ANTRIM"
-5.925203,54.602102,"Victoria Street","Anti-social behaviour","BT679DG","LURGAN","ARMAGH"
-7.313373,54.377039,"Spout Road","Anti-social behaviour","BT750PD","FIVEMILETOWN","TYRONE"
-5.869769,54.595523,"Bethany Street","Anti-social behaviour","BT43FE","BELFAST","DOWN"
-7.161642,54.41763,"Mccrea Park","Anti-social behaviour","BT760AE","CLOGHER","TYRONE"
-5.794821,54.722327,"Barn Road","Anti-social behaviour","BT387EU","CARRICKFERGUS","ANTRIM"
-6.710606,55.099933,"Farranseer Park","Anti-social behaviour","BT514NA","COLERAINE","LONDONDERRY"
-5.984893,54.596498,"New Barnsley Gardens","Anti-social behaviour","BT127HP","BELFAST","ANTRIM"
-6.77009,54.508707,"Quarry Lane","Anti-social behaviour","BT701HX","DUNGANNON","TYRONE"
-5.925466,54.61305,"Clanmorris Street","Anti-social behaviour","BT151GU","BELFAST","ANTRIM"
-7.317722,54.993634,"Connswater Street","Anti-social behaviour",,,
-5.931345,54.624715,"Premier Drive","Anti-social behaviour","BT153LY","BELFAST","ANTRIM"
-5.747209,54.551018,"Castle Street","Anti-social behaviour","BT307QQ","KILLOUGH","DOWN"
-5.962319,54.595212,"Beechmount Pass","Anti-social behaviour","BT127NZ","BELFAST","ANTRIM"
-5.904684,54.556535,"Glendale Park","Anti-social behaviour","BT86HS","BELFAST","DOWN"
-5.782454,54.729919,"Lennox Close","Anti-social behaviour","BT387DF","CARRICKFERGUS","ANTRIM"
-6.665021,55.130838,"Connswater Street","Anti-social behaviour",,,
-6.934381,54.945496,"Drumrane Road","Anti-social behaviour","BT499LB","LIMAVADY","LONDONDERRY"
-5.666286,54.663536,"High Street","Anti-social behaviour","BT248AB","BALLYNAHINCH","DOWN"
-7.152608,54.910617,"Irwin Crescent","Anti-social behaviour","BT43AQ","BELFAST","DOWN"
-6.35195,54.455249,"Old Portadown Road","Anti-social behaviour","BT668RH","LURGAN","ARMAGH"
-6.931306,55.050697,"Castle Park","Anti-social behaviour","BT490SW","LIMAVADY","LONDONDERRY"
-6.219285,54.714583,"Market Square","Anti-social behaviour","BT414DN","ANTRIM","ANTRIM"
-5.825945,54.724336,"Prospect Downs South","Anti-social behaviour","BT388SD","CARRICKFERGUS","ANTRIM"
-7.299491,54.604403,"Old Mountfield Road","Anti-social behaviour","BT797BJ","OMAGH","TYRONE"
-6.613986,54.761775,"Connswater Street","Anti-social behaviour",,,
-6.352147,54.180112,"Hospital Road","Anti-social behaviour","BT358PW","NEWRY","ARMAGH"
-6.23121,54.729033,"Connswater Street","Anti-social behaviour",,,
-5.981575,54.594134,"Whitecliff Parade","Anti-social behaviour","BT127JS","BELFAST","ANTRIM"
-5.965442,54.609228,"Ballygomartin Road","Anti-social behaviour","BT133NA","BELFAST","ANTRIM"
-6.290601,54.434747,"Cambrai Drive","Anti-social behaviour","BT667QT","WARINGSTOWN","DOWN"
-6.18698,54.710663,"Firmount Drive","Anti-social behaviour","BT411JN","ANTRIM","ANTRIM"
-5.953215,54.600863,"Ashmore Place","Anti-social behaviour","BT132PU","BELFAST","ANTRIM"
-5.709197,54.597064,"Westland Drive","Anti-social behaviour","BT222TH","BALLYWALTER","DOWN"
-6.159027,54.236922,"Downpatrick Street","Anti-social behaviour","BT309EA","CROSSGAR","DOWN"
-6.941795,55.040395,"Glenview Drive","Anti-social behaviour","BT490RZ","LIMAVADY","LONDONDERRY"
-6.29926,54.311608,"Newry Road","Anti-social behaviour","BT323NB","BANBRIDGE","DOWN"
-7.325398,55.008283,"Northland Road","Anti-social behaviour","BT480AL","LONDONDERRY","LONDONDERRY"
-5.671813,54.659042,"Railwayview Street","Anti-social behaviour","BT203BY","BANGOR","DOWN"
-5.865101,54.598666,"Belmont Church Road","Anti-social behaviour","BT43FF","BELFAST","DOWN"
-5.922125,54.602355,"Donegall Quay","Anti-social behaviour","BT13NJ","BELFAST","ANTRIM"
-5.922125,54.602355,"Donegall Quay","Anti-social behaviour","BT13NJ","BELFAST","ANTRIM"
-6.027232,54.570556,"Colinvale","Anti-social behaviour","BT170JN","DUNMURRY","ANTRIM"
-6.67723,55.130504,"Pates Lane","Anti-social behaviour","BT513DE","COLERAINE","LONDONDERRY"
-7.161642,54.41763,"Mccrea Park","Anti-social behaviour","BT760AE","CLOGHER","TYRONE"
-6.044499,54.513512,"Railway Street","Anti-social behaviour","BT617HP","ARMAGH","ARMAGH"
-6.341111,54.178389,"Lower Catherine Street","Anti-social behaviour","BT356BE","NEWRY","DOWN"
-7.342911,55.01543,"Gweebara Park","Anti-social behaviour","BT480EE","LONDONDERRY","LONDONDERRY"
-5.94037,54.616198,"Connswater Street","Anti-social behaviour",,,
-6.22531,54.707043,"Greenpark Drive","Anti-social behaviour","BT414EN","ANTRIM","ANTRIM"
-5.934248,54.25964,"Station Avenue","Anti-social behaviour","BT319PH","CASTLEWELLAN","DOWN"
-6.50387,55.077329,"Agherton Gardens","Anti-social behaviour","BT536PR","BALLYMONEY","ANTRIM"
-5.923682,54.664171,"Carnreagh Bend","Anti-social behaviour","BT379EH","NEWTOWNABBEY","ANTRIM"
-5.734993,54.548857,"Laburnum Grove","Anti-social behaviour","BT235NS","COMBER","DOWN"
-7.474058,54.822328,"Koram Square","Anti-social behaviour","BT829DP","STRABANE","TYRONE"
-7.29533,54.989356,"Connswater Street","Anti-social behaviour",,,
-5.56478,54.537417,"De Courcy Park","Anti-social behaviour","BT222SA","NEWTOWNARDS","DOWN"
-5.881321,54.583749,"Houston Park","Anti-social behaviour","BT424LB","BROUGHSHANE","ANTRIM"
-6.788563,54.506378,"Mullaghmore Park","Anti-social behaviour","BT388RG","CARRICKFERGUS","ANTRIM"
-5.650517,54.401479,"Braeside Gardens","Anti-social behaviour","BT309QE","KILLYLEAGH","DOWN"
-5.938106,54.578908,"Lennoxvale","Anti-social behaviour","BT95BY","BELFAST","ANTRIM"
-5.751298,54.398501,"Tobarmore Park","Anti-social behaviour","BT309HE","CROSSGAR","DOWN"
-7.321576,54.997635,"William Street","Anti-social behaviour","BT486EP","LONDONDERRY","LONDONDERRY"
-6.283752,54.856843,"Leighinmohr Avenue","Anti-social behaviour","BT422AN","BALLYMENA","ANTRIM"
-5.957705,54.687625,"Manse Terrace","Anti-social behaviour","BT365UJ","NEWTOWNABBEY","ANTRIM"
-6.779428,54.501552,"Woodburn Crescent","Anti-social behaviour","BT717DD","DUNGANNON","TYRONE"
-7.044257,55.042869,"Clooney Road","Anti-social behaviour","BT473DZ","GREYSTEEL","LONDONDERRY"
-6.202372,54.722949,"Bush Park","Anti-social behaviour","BT411BY","ANTRIM","ANTRIM"
-5.923333,54.584414,"Fitzwilliam Square","Anti-social behaviour","BT71JH","BELFAST","ANTRIM"
-6.202833,54.71708,"Portlee Walk","Anti-social behaviour","BT411EL","ANTRIM","ANTRIM"
-5.925203,54.602102,"Victoria Street","Anti-social behaviour","BT679DG","LURGAN","ARMAGH"
-6.028976,54.528004,"Lambeg Road","Anti-social behaviour","BT274QA","LISBURN","ANTRIM"
-6.646242,55.193693,"Apollo Avenue","Anti-social behaviour","BT568HH","PORTRUSH","ANTRIM"
-7.302675,54.991941,"Good Shepherd Glen","Anti-social behaviour","BT472GA","LONDONDERRY","LONDONDERRY"
-6.087063,54.469808,"Culcavy Road","Anti-social behaviour","BT266JD","HILLSBOROUGH","DOWN"
-5.894279,54.589546,"Quinton Street","Anti-social behaviour","BT55GR","BELFAST","DOWN"
-5.927414,54.595132,"Alfred Street","Anti-social behaviour","BT28EP","BELFAST","ANTRIM"
-6.294961,54.461861,"Belfast Road","Anti-social behaviour","BT248EB","BALLYNAHINCH","DOWN"
-7.462554,54.353199,"Gardiners Cross Road","Anti-social behaviour","BT944QA","MAGUIRESBRIDGE","FERMANAGH"
-6.40621,54.43348,"Lisnisky Lane","Anti-social behaviour","BT635RB","PORTADOWN","ARMAGH"
-6.448531,54.430994,"Churchill Gardens","Anti-social behaviour","BT621HE","PORTADOWN","ARMAGH"
-5.951986,54.614868,"Ardilea Court","Anti-social behaviour","BT147DT","BELFAST","ANTRIM"
-6.072687,54.509122,"Moira Park","Anti-social behaviour","BT281SJ","LISBURN","ANTRIM"
-6.456443,54.433683,"Ballyoran Park","Anti-social behaviour","BT621JS","PORTADOWN","ARMAGH"
-5.698051,54.59165,"John Street","Anti-social behaviour","BT486JY","LONDONDERRY","LONDONDERRY"
-6.253506,54.101899,"East Street","Anti-social behaviour","BT237DD","NEWTOWNARDS","DOWN"
-5.878768,54.700025,"Connswater Street","Anti-social behaviour",,,
-5.699252,54.593389,"Mill Street","Anti-social behaviour","BT941GR","IRVINESTOWN","FERMANAGH"
-6.023766,54.519132,"Hilden Court","Anti-social behaviour","BT274YL","LISBURN","ANTRIM"
-5.916331,54.668789,"Connswater Street","Anti-social behaviour",,,
-6.40621,54.43348,"Lisnisky Lane","Anti-social behaviour","BT635RB","PORTADOWN","ARMAGH"
-5.906281,54.680027,"Abbeycroft Road","Anti-social behaviour","BT370YL","NEWTOWNABBEY","ANTRIM"
-6.193796,54.719641,"Crossreagh Drive","Anti-social behaviour","BT379DZ","NEWTOWNABBEY","ANTRIM"
-6.230421,54.479666,"Castlevue Gardens","Anti-social behaviour","BT670JU",,"DOWN"
-5.935169,54.588355,"Lisburn Road","Anti-social behaviour","BT97GY","BELFAST","ANTRIM"
-5.744079,54.549746,"Gillespie Court","Anti-social behaviour","BT235GL","COMBER","DOWN"
-5.92769,54.597014,"Connswater Street","Anti-social behaviour",,,
-6.765933,54.509877,"Connswater Street","Anti-social behaviour",,,
-6.655227,54.351483,"Connswater Street","Anti-social behaviour",,,
-5.956934,54.669948,"Connswater Street","Anti-social behaviour",,,
-5.9393,54.585909,"Fitzwilliam Street","Anti-social behaviour","BT96AW","BELFAST","ANTRIM"
-5.938336,54.660666,"Whitewell Mews","Anti-social behaviour","BT367EG","NEWTOWNABBEY","ANTRIM"
-5.975881,54.622197,"Legann Street","Anti-social behaviour","BT148AP","BELFAST","ANTRIM"
-5.742001,54.550148,"Connswater Street","Anti-social behaviour",,,
-5.672622,54.649228,"Hill Crest","Anti-social behaviour","BT204EH","BANGOR","DOWN"
-6.339564,54.180676,"Erskine Street","Anti-social behaviour","BT356BX","NEWRY","DOWN"
-5.861459,54.840128,"Drumahoe Gardens","Anti-social behaviour","BT402SJ","LARNE","ANTRIM"
-5.928966,54.58346,"Rugby Street","Anti-social behaviour","BT71PX","BELFAST","ANTRIM"
-5.979165,54.618739,"Forthriver Drive","Anti-social behaviour","BT133UL","BELFAST","ANTRIM"
-5.48618,54.544272,"Connswater Street","Anti-social behaviour",,,
-5.933559,54.594177,"Connswater Street","Anti-social behaviour",,,
-5.991937,54.58073,"Bingnian Drive","Anti-social behaviour","BT118JD","BELFAST","ANTRIM"
-6.023231,54.570131,"Connswater Street","Anti-social behaviour",,,
-6.701296,54.539279,"Platers Hill","Anti-social behaviour","BT714JZ","COALISLAND","TYRONE"
-7.641273,54.350602,"Derrin Road","Anti-social behaviour","BT746BA","ENNISKILLEN","FERMANAGH"
-5.896437,54.549168,"Finsbury Crescent","Anti-social behaviour","BT86GH","BELFAST","DOWN"
-5.941098,54.580621,"Connswater Street","Anti-social behaviour",,,
-5.707979,54.592305,"Connswater Street","Anti-social behaviour",,,
-5.922125,54.602355,"Donegall Quay","Anti-social behaviour","BT13NJ","BELFAST","ANTRIM"
-5.858198,54.618429,"Knocknagoney Park","Anti-social behaviour","BT42PU","BELFAST","DOWN"
-6.332689,54.478039,"Fox'S Hill","Anti-social behaviour","BT679EZ","LURGAN","ARMAGH"
-5.838481,54.638996,"Ean Hill","Anti-social behaviour","BT189LQ","HOLYWOOD","DOWN"
-5.712382,54.314076,"Glebetown Drive","Anti-social behaviour","BT306QB","DOWNPATRICK","DOWN"
-7.379644,54.718505,"Davis Crescent","Anti-social behaviour","BT784BP","NEWTOWNSTEWART","TYRONE"
-6.456443,54.433683,"Ballyoran Park","Anti-social behaviour","BT621JS","PORTADOWN","ARMAGH"
-5.701252,54.594424,"Regent Street","Anti-social behaviour","BT234WY","NEWTOWNARDS","DOWN"
-6.047399,54.506129,"Hillsborough Road","Anti-social behaviour","BT670HG",,"DOWN"
-5.958754,54.612637,"Brookfield Place","Anti-social behaviour","BT147FN","BELFAST","ANTRIM"
-5.968348,54.601226,"Watermouth Crescent","Anti-social behaviour","BT127FH","BELFAST","ANTRIM"
-5.807505,54.59486,"Upper Newtownards Road","Anti-social behaviour","BT43NW","BELFAST","DOWN"
-5.863614,54.577426,"Lower Braniel Road","Anti-social behaviour","BT57PA","BELFAST","DOWN"
-7.319177,55.019342,"Racecourse Road","Anti-social behaviour","BT488DS","LONDONDERRY","LONDONDERRY"
-6.701481,54.537367,"Ardnasaggart Terrace","Anti-social behaviour","BT714RG","COALISLAND","TYRONE"
-6.23121,54.729033,"Connswater Street","Anti-social behaviour",,,
-5.745216,54.549875,"Killinchy Street","Anti-social behaviour","BT235AP","COMBER","DOWN"
-7.30036,55.018983,"Gleneagles","Anti-social behaviour","BT449PQ",,"ANTRIM"
-5.917997,54.594404,"Connswater Street","Anti-social behaviour",,,
-6.941427,55.041299,"Glenmore Gardens","Anti-social behaviour","BT490RT","LIMAVADY","LONDONDERRY"
-5.987218,54.597372,"Moyard Parade","Anti-social behaviour","BT127HG","BELFAST","ANTRIM"
-7.590255,54.355937,"Clover Brae","Anti-social behaviour","BT744AB","ENNISKILLEN","FERMANAGH"
-5.923839,54.616428,"North Derby Street","Anti-social behaviour","BT153HN","BELFAST","ANTRIM"
-5.669344,54.659668,"Main Street","Anti-social behaviour","BT936HW","DERRYGONNELLY","FERMANAGH"
-5.930747,54.602952,"Royal Avenue","Anti-social behaviour","BT11DD","BELFAST","ANTRIM"
-7.354309,54.962789,"Stoneypath","Anti-social behaviour","BT472AF","LONDONDERRY","LONDONDERRY"
-5.912228,54.67322,"Station Road","Anti-social behaviour","BT41RF","BELFAST","DOWN"
-7.276541,54.967436,"Rushall Road","Anti-social behaviour","BT473UG","LONDONDERRY","LONDONDERRY"
-5.800903,54.726975,"Manor Close","Anti-social behaviour","BT146DJ","BELFAST","ANTRIM"
